Sensor,Hora
41993,14:37:29
41982,14:37:30
41971,14:37:31
41963,14:37:32
41950,14:37:33
41939,14:37:34
41933,14:37:35
41923,14:37:36
41920,14:37:37
41904,14:37:38
41899,14:37:39
41890,14:37:40
41869,14:37:41
41864,14:37:42
41856,14:37:43
41847,14:37:44
41831,14:37:45
41821,14:37:46
41813,14:37:47
41802,14:37:48
41802,14:37:49
41791,14:37:50
41783,14:37:51
41778,14:37:52
41772,14:37:53
41754,14:37:54
41729,14:37:55
41727,14:37:56
41711,14:37:57
41711,14:37:58
41703,14:37:59
41695,14:38:00
41692,14:38:01
41684,14:38:02
41676,14:38:03
41673,14:38:05
41663,14:38:06
41663,14:38:07
41663,14:38:08
41657,14:38:09
41647,14:38:10
41638,14:38:11
41639,14:38:12
41636,14:38:13
41622,14:38:14
41628,14:38:15
41617,14:38:16
41609,14:38:17
41606,14:38:18
41609,14:38:19
41598,14:38:20
41601,14:38:21
41598,14:38:22
41590,14:38:23
41590,14:38:24
41582,14:38:25
41577,14:38:26
41566,14:38:27
41558,14:38:28
41558,14:38:29
41553,14:38:30
41542,14:38:31
41521,14:38:32
41524,14:38:33
41513,14:38:34
41505,14:38:35
41505,14:38:36
41484,14:38:37
41484,14:38:38
41470,14:38:39
41457,14:38:40
41443,14:38:41
41435,14:38:42
41425,14:38:43
41422,14:38:44
41414,14:38:45
41403,14:38:46
41390,14:38:48
41371,14:38:49
41363,14:38:50
41350,14:38:51
41342,14:38:52
41331,14:38:53
41339,14:38:54
41337,14:38:55
41318,14:38:56
41315,14:38:57
41305,14:38:58
41307,14:38:59
41299,14:39:00
41302,14:39:01
41281,14:39:02
41270,14:39:03
41262,14:39:04
41262,14:39:05
41254,14:39:06
41238,14:39:07
41230,14:39:08
41211,14:39:09
41214,14:39:10
41201,14:39:11
41193,14:39:12
41187,14:39:13
41169,14:39:14
41161,14:39:15
41150,14:39:16
41139,14:39:17
41131,14:39:18
41121,14:39:19
41124,14:39:20
41105,14:39:21
41094,14:39:22
41086,14:39:23
41078,14:39:24
41065,14:39:25
41065,14:39:26
41054,14:39:27
41046,14:39:28
41041,14:39:29
41033,14:39:30
41025,14:39:32
41014,14:39:33
41012,14:39:34
41001,14:39:35
41004,14:39:36
40990,14:39:37
40982,14:39:38
40974,14:39:39
40969,14:39:40
40969,14:39:41
40961,14:39:42
40951,14:39:43
40945,14:39:44
40945,14:39:45
40937,14:39:46
40929,14:39:47
40929,14:39:48
40908,14:39:49
40900,14:39:50
40903,14:39:51
40889,14:39:52
40887,14:39:53
40874,14:39:54
40874,14:39:55
40863,14:39:56
40863,14:39:57
40861,14:39:58
40850,14:39:59
40850,14:40:00
40837,14:40:01
40823,14:40:02
40821,14:40:03
40807,14:40:04
40797,14:40:05
40794,14:40:06
40786,14:40:07
40786,14:40:08
40765,14:40:09
40765,14:40:10
40754,14:40:11
40741,14:40:12
40736,14:40:13
40728,14:40:14
40720,14:40:16
40709,14:40:17
40704,14:40:18
40688,14:40:19
40683,14:40:20
40680,14:40:21
40675,14:40:22
40664,14:40:23
40651,14:40:24
