Sensor,Hora
33484,14:57:53
33476,14:57:54
33471,14:57:55
33457,14:57:56
33444,14:57:57
33437,14:57:58
33430,14:57:59
33425,14:58:00
33415,14:58:01
33395,14:58:02
33391,14:58:03
33383,14:58:04
33369,14:58:05
33364,14:58:06
33359,14:58:07
33352,14:58:08
33347,14:58:09
33337,14:58:10
33327,14:58:11
33320,14:58:12
33313,14:58:13
33311,14:58:14
33303,14:58:15
33296,14:58:16
33289,14:58:17
33289,14:58:18
33282,14:58:19
33276,14:58:20
33260,14:58:21
33257,14:58:22
33243,14:58:23
33245,14:58:24
33231,14:58:25
33231,14:58:27
33219,14:58:28
33211,14:58:29
33201,14:58:30
33187,14:58:31
33187,14:58:32
33169,14:58:33
33162,14:58:34
33147,14:58:35
33147,14:58:36
33135,14:58:37
33121,14:58:38
33114,14:58:39
33101,14:58:40
33094,14:58:41
33079,14:58:42
33074,14:58:43
33059,14:58:44
33049,14:58:45
33040,14:58:46
33030,14:58:47
33023,14:58:48
33011,14:58:49
33004,14:58:50
32991,14:58:51
32982,14:58:52
32969,14:58:53
32964,14:58:54
32954,14:58:55
32940,14:58:56
32930,14:58:57
32925,14:58:58
32925,14:58:59
32909,14:59:00
32901,14:59:01
32891,14:59:02
32883,14:59:03
32881,14:59:04
32877,14:59:05
32877,14:59:06
32867,14:59:07
32862,14:59:08
32855,14:59:09
32847,14:59:11
32843,14:59:12
32841,14:59:13
32835,14:59:14
32833,14:59:15
32826,14:59:16
32826,14:59:17
32819,14:59:18
32805,14:59:19
32804,14:59:20
32796,14:59:21
32789,14:59:22
32782,14:59:23
32777,14:59:24
32764,14:59:25
32764,14:59:26
32767,14:59:27
32757,14:59:28
32753,14:59:29
32750,14:59:30
32735,14:59:31
32734,14:59:32
32721,14:59:33
32724,14:59:34
32704,14:59:35
32709,14:59:36
32700,14:59:37
32685,14:59:38
32678,14:59:39
32663,14:59:40
32656,14:59:41
32639,14:59:42
32634,14:59:43
32624,14:59:44
32620,14:59:45
32606,14:59:46
32590,14:59:47
32586,14:59:48
32574,14:59:49
32566,14:59:50
32547,14:59:51
32545,14:59:52
32525,14:59:53
32523,14:59:55
32518,14:59:56
32511,14:59:57
32501,14:59:58
32494,14:59:59
32486,15:00:00
32484,15:00:01
32487,15:00:02
32474,15:00:03
32467,15:00:04
32462,15:00:05
32455,15:00:06
32448,15:00:07
32443,15:00:08
32440,15:00:09
32430,15:00:10
32426,15:00:11
32421,15:00:12
32411,15:00:13
32410,15:00:14
32402,15:00:15
32395,15:00:16
32389,15:00:17
32374,15:00:18
32370,15:00:19
32360,15:00:20
32353,15:00:21
32345,15:00:22
32338,15:00:23
32333,15:00:24
32328,15:00:25
32318,15:00:26
32314,15:00:27
32304,15:00:28
32299,15:00:30
32289,15:00:31
32287,15:00:32
32283,15:00:32
32273,15:00:33
32263,15:00:34
32246,15:00:35
32246,15:00:36
32229,15:00:38
32217,15:00:39
32212,15:00:40
32197,15:00:41
32197,15:00:42
32183,15:00:43
32185,15:00:44
32178,15:00:45
32166,15:00:46
32166,15:00:47
32154,15:00:48
32147,15:00:49
32145,15:00:50
32139,15:00:51
32125,15:00:52
32126,15:00:53
32118,15:00:54
32103,15:00:55
32103,15:00:56
32096,15:00:57
32090,15:00:59
32081,15:00:59
32075,15:01:00
32060,15:01:01
32061,15:01:02
32045,15:01:03
32038,15:01:04
32031,15:01:05
32022,15:01:06
32022,15:01:07
32012,15:01:08
32008,15:01:09
32000,15:01:10
31983,15:01:11
31978,15:01:12
31964,15:01:13
31962,15:01:14
31942,15:01:15
31948,15:01:16
31934,15:01:17
31927,15:01:18
31919,15:01:19
31904,15:01:20
31905,15:01:22
31896,15:01:23
31896,15:01:24
31883,15:01:25
31883,15:01:26
31870,15:01:27
31866,15:01:28
31858,15:01:29
31846,15:01:30
31838,15:01:31
31837,15:01:32
31830,15:01:33
31820,15:01:34
31814,15:01:35
31811,15:01:36
31799,15:01:37
31801,15:01:38
31789,15:01:39
31779,15:01:40
31777,15:01:41
31773,15:01:42
31765,15:01:43
31766,15:01:44
31757,15:01:45
31741,15:01:46
31742,15:01:47
31729,15:01:48
31727,15:01:49
31719,15:01:50
31722,15:01:51
31715,15:01:52
31705,15:01:53
31695,15:01:54
31683,15:01:55
31687,15:01:57
31685,15:01:57
31685,15:01:58
31683,15:01:59
31691,15:02:00
31683,15:02:01
31667,15:02:02
31668,15:02:03
31661,15:02:04
31649,15:02:06
31635,15:02:07
31635,15:02:08
31621,15:02:09
31626,15:02:10
31614,15:02:11
31609,15:02:12
31600,15:02:13
31592,15:02:14
31585,15:02:15
31575,15:02:16
31565,15:02:17
31564,15:02:18
31556,15:02:19
31549,15:02:20
31536,15:02:21
31524,15:02:22
31518,15:02:23
31510,15:02:24
31500,15:02:25
31497,15:02:26
31497,15:02:27
31477,15:02:28
31484,15:02:29
31477,15:02:30
31474,15:02:31
31467,15:02:32
31460,15:02:33
31450,15:02:34
31444,15:02:35
